skeleton,n_ch,n_sh,top_section_ch,top_section_sh,semantic_guardrail
l#dy,15,3,recipes(9),balneological(3),rota55_minpair_not_decipherment
#om,13,4,herbal(11),herbal(4),rota55_minpair_not_decipherment
#eeody,13,4,recipes(8),pharmaceutical(2),rota55_minpair_not_decipherment
qop#dy,16,1,recipes(12),balneological(1),rota55_minpair_not_decipherment
#ckhedy,11,6,balneological(5),balneological(6),rota55_minpair_not_decipherment
ol#eey,9,7,recipes(4),balneological(3),rota55_minpair_not_decipherment
k#o,8,8,herbal(7),herbal(8),rota55_minpair_not_decipherment
qok#ol,15,1,herbal(12),herbal(1),rota55_minpair_not_decipherment
#keey,13,3,herbal(7),astronomical(1),rota55_minpair_not_decipherment
r#edy,10,6,balneological(6),balneological(6),rota55_minpair_not_decipherment
#ekal,12,4,herbal(4),herbal(1),rota55_minpair_not_decipherment
#eoky,9,7,pharmaceutical(3),recipes(3),rota55_minpair_not_decipherment
d#eol,7,9,balneological(3),recipes(3),rota55_minpair_not_decipherment
l#eedy,9,7,recipes(7),balneological(5),rota55_minpair_not_decipherment
#an,11,4,herbal(9),herbal(4),rota55_minpair_not_decipherment
#eod,5,10,herbal(2),recipes(5),rota55_minpair_not_decipherment
#eeey,9,6,recipes(6),recipes(4),rota55_minpair_not_decipherment
#ee,2,13,herbal(1),herbal(5),rota55_minpair_not_decipherment
#eckhey,11,4,recipes(5),balneological(3),rota55_minpair_not_decipherment
#ckhdy,13,2,balneological(5),herbal(2),rota55_minpair_not_decipherment
#ory,9,5,herbal(7),herbal(4),rota55_minpair_not_decipherment
t#o,9,5,herbal(8),herbal(4),rota55_minpair_not_decipherment
#ty,10,4,herbal(5),herbal(1),rota55_minpair_not_decipherment
qot#ol,13,1,herbal(11),herbal(1),rota55_minpair_not_decipherment
o#ey,8,6,herbal(3),recipes(3),rota55_minpair_not_decipherment
qoke#y,13,1,recipes(8),cosmological(1),rota55_minpair_not_decipherment
#kain,12,2,recipes(6),balneological(1),rota55_minpair_not_decipherment
#okeey,11,3,herbal(5),herbal(1),rota55_minpair_not_decipherment
ol#dy,10,4,balneological(5),balneological(4),rota55_minpair_not_decipherment
#ek,6,8,astronomical(3),balneological(4),rota55_minpair_not_decipherment
ok#o,8,5,herbal(5),herbal(4),rota55_minpair_not_decipherment
#odar,12,1,pharmaceutical(4),recipes(1),rota55_minpair_not_decipherment
