priority_score,folio,locus,locus_kind,prefix_family,distinct_suffixes,suffixes_present,axis_coverage,total_candidates,ar,al,or,ol,tokens,target_status_counts,line_positions,visual_contexts,annotated_tokens,visual_zones,object_nearby,annotation_confidence
32,f79v,"f79v.32,+P0",P,standalone,2,ol or,rl,4,0,0,1,3,ol or,standalone:4,middle,paragraph/text line,0,,,
32,f80r,"f80r.13,+P0",P,qok,2,al ar,rl,3,1,2,0,0,qokal qokar,exact:3,middle,paragraph/text line,0,,,
32,f81r,"f81r.5,+P0",P,standalone,2,ol or,rl,4,0,0,1,3,ol or,standalone:4,middle,paragraph/text line,0,,,
32,f81v,"f81v.19,+P0",P,qok,2,al ar,rl,3,2,1,0,0,qokal qokar,exact:3,middle,paragraph/text line,0,,,
32,f89r2,"f89r2.13,+P0",P,ch,2,ol or,rl,5,0,0,1,4,cheol chol chor,broad:2; exact:3,end middle,paragraph/text line,0,,,
31,f72v1,"f72v1.22,@Cc",C,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,middle,circular text,0,,,
31,f86v4,"f86v4.1,@Cc",C,standalone,2,al ar,rl,2,1,1,0,0,al ar,standalone:2,middle,circular text,0,,,
31,fRos,"fRos.36,@Cc",C,standalone,2,ol or,rl,2,0,0,1,1,ol or,standalone:2,middle,circular text,0,,,
31,fRos,"fRos.47,@Cc",C,standalone,2,ol or,rl,2,0,0,1,1,ol or,standalone:2,middle,circular text,0,,,
30,f102v2,"f102v2.32,+P0",P,standalone,2,ar ol,ao+rl,2,1,0,0,1,ar ol,standalone:2,middle,paragraph/text line,0,,,
30,f104v,"f104v.25,+P0",P,standalone,2,ar ol,ao+rl,2,1,0,0,1,ar ol,standalone:2,middle,paragraph/text line,0,,,
30,f105v,"f105v.33,+P0",P,standalone,2,al or,ao+rl,2,0,1,1,0,al or,standalone:2,middle,paragraph/text line,0,,,
30,f111r,"f111r.13,+P0",P,standalone,2,al or,ao+rl,2,0,1,1,0,al or,standalone:2,middle,paragraph/text line,0,,,
30,f111r,"f111r.33,+P0",P,standalone,2,ar ol,ao+rl,2,1,0,0,1,ar ol,standalone:2,middle,paragraph/text line,0,,,
30,f111r,"f111r.46,+P0",P,standalone,2,al or,ao+rl,2,0,1,1,0,al or,standalone:2,middle,paragraph/text line,0,,,
30,f112r,"f112r.30,+P0",P,standalone,2,ar ol,ao+rl,2,1,0,0,1,ar ol,standalone:2,middle,paragraph/text line,0,,,
30,f113v,"f113v.20,+P0",P,standalone,2,ar ol,ao+rl,2,1,0,0,1,ar ol,standalone:2,middle,paragraph/text line,0,,,
30,f115r,"f115r.21,+P0",P,standalone,2,al or,ao+rl,2,0,1,1,0,al or,standalone:2,middle,paragraph/text line,0,,,
30,f115v,"f115v.30,+P0",P,standalone,2,ar ol,ao+rl,2,1,0,0,1,ar ol,standalone:2,middle,paragraph/text line,0,,,
30,f115v,"f115v.4,+P0",P,standalone,2,al or,ao+rl,2,0,1,1,0,al or,standalone:2,middle,paragraph/text line,0,,,
30,f116r,"f116r.39,+P0",P,standalone,2,al or,ao+rl,2,0,1,1,0,al or,standalone:2,middle,paragraph/text line,0,,,
30,f23v,"f23v.4,+P0",P,standalone,2,ar ol,ao+rl,2,1,0,0,1,ar ol,standalone:2,end middle,paragraph/text line,0,,,
30,f24r,"f24r.13,+P0",P,standalone,2,ar ol,ao+rl,2,1,0,0,1,ar ol,standalone:2,end middle,paragraph/text line,0,,,
30,f33r,"f33r.4,+P0",P,standalone,2,al or,ao+rl,2,0,1,1,0,al or,standalone:2,middle,paragraph/text line,0,,,
30,f35v,"f35v.13,+P0",P,standalone,2,ar ol,ao+rl,2,1,0,0,1,ar ol,standalone:2,middle start,paragraph/text line,0,,,
30,f58v,"f58v.4,+P0",P,standalone,2,al or,ao+rl,2,0,1,1,0,al or,standalone:2,middle start,paragraph/text line,0,,,
30,f67v2,"f67v2.9,@Pb",P,standalone,2,ar ol,ao+rl,2,1,0,0,1,ar ol,standalone:2,middle,paragraph/text line,0,,,
30,f6r,"f6r.6,+P0",P,standalone,2,al or,ao+rl,2,0,1,1,0,al or,standalone:2,middle start,paragraph/text line,0,,,
30,f76r,"f76r.12,+P0",P,standalone,2,ar ol,ao+rl,2,1,0,0,1,ar ol,standalone:2,middle,paragraph/text line,0,,,
30,f76r,"f76r.36,+P0",P,standalone,2,ar ol,ao+rl,2,1,0,0,1,ar ol,standalone:2,middle,paragraph/text line,0,,,
30,f80r,"f80r.49,+P0",P,standalone,2,ar ol,ao+rl,2,1,0,0,1,ar ol,standalone:2,middle,paragraph/text line,0,,,
30,f80v,"f80v.13,+P0",P,standalone,2,ar ol,ao+rl,2,1,0,0,1,ar ol,standalone:2,middle,paragraph/text line,0,,,
30,f84r,"f84r.44,+P1",P,standalone,2,ar ol,ao+rl,2,1,0,0,1,ar ol,standalone:2,middle,paragraph/text line,0,,,
30,f86v6,"f86v6.23,+P0",P,standalone,2,ar ol,ao+rl,2,1,0,0,1,ar ol,standalone:2,middle,paragraph/text line,0,,,
30,f86v6,"f86v6.40,+P0",P,standalone,2,ar ol,ao+rl,2,1,0,0,1,ar ol,standalone:2,middle,paragraph/text line,0,,,
30,f90r2,"f90r2.3,+P0",P,standalone,2,ar ol,ao+rl,2,1,0,0,1,ar ol,standalone:2,end middle,paragraph/text line,0,,,
30,f99r,"f99r.50,+P0",P,standalone,2,al or,ao+rl,2,0,1,1,0,al or,standalone:2,end middle,paragraph/text line,0,,,
29,f101r,"f101r.5,+P0",P,standalone,2,ol or,rl,3,0,0,2,1,ol or,standalone:3,middle,paragraph/text line,0,,,
29,f103v,"f103v.23,+P0",P,standalone,2,ar or,ao,3,2,0,1,0,ar or,standalone:3,middle,paragraph/text line,0,,,
29,f104r,"f104r.5,+P0",P,standalone,2,al ol,ao,3,0,1,0,2,al ol,standalone:3,middle,paragraph/text line,0,,,
29,f104v,"f104v.30,+P0",P,standalone,2,ar or,ao,3,2,0,1,0,ar or,standalone:3,middle,paragraph/text line,0,,,
29,f105r,"f105r.34,+P0",P,standalone,2,al ar,rl,3,1,2,0,0,al ar,standalone:3,middle,paragraph/text line,0,,,
29,f108r,"f108r.25,+P0",P,standalone,2,al ol,ao,3,0,2,0,1,al ol,standalone:3,end middle,paragraph/text line,0,,,
29,f111r,"f111r.34,+P0",P,standalone,2,al ar,rl,3,1,2,0,0,al ar,standalone:3,middle,paragraph/text line,0,,,
29,f112v,"f112v.3,+P0",P,standalone,2,ar or,ao,3,2,0,1,0,ar or,standalone:3,middle,paragraph/text line,0,,,
29,f113r,"f113r.2,+P0",P,standalone,2,al ar,rl,3,1,2,0,0,al ar,standalone:3,middle,paragraph/text line,0,,,
29,f113v,"f113v.2,+P0",P,standalone,2,al ar,rl,3,2,1,0,0,al ar,standalone:3,middle,paragraph/text line,0,,,
29,f113v,"f113v.26,+P0",P,standalone,2,al ar,rl,3,1,2,0,0,al ar,standalone:3,middle,paragraph/text line,0,,,
29,f33v,"f33v.10,+P0",P,standalone,2,ar or,ao,3,1,0,2,0,ar or,standalone:3,middle,paragraph/text line,0,,,
29,f39v,"f39v.10,+P0",P,standalone,2,ar or,ao,3,2,0,1,0,ar or,standalone:3,middle,paragraph/text line,0,,,
29,f39v,"f39v.5,+P0",P,standalone,2,ol or,rl,3,0,0,2,1,ol or,standalone:3,middle,paragraph/text line,0,,,
29,f40r,"f40r.6,+P0",P,standalone,2,ar or,ao,3,1,0,2,0,ar or,standalone:3,middle,paragraph/text line,0,,,
29,f48v,"f48v.6,+P0",P,standalone,2,ol or,rl,3,0,0,2,1,ol or,standalone:3,middle,paragraph/text line,0,,,
29,f54r,"f54r.10,+P0",P,standalone,2,ol or,rl,3,0,0,1,2,ol or,standalone:3,middle,paragraph/text line,0,,,
29,f57v,"f57v.4,+Cc",C,d,2,al ar,rl,3,1,2,0,0,dal deeodal dkedar,broad:2; exact:1,middle,circular text,0,,,
29,f58r,"f58r.27,+P0",P,standalone,2,al ar,rl,3,2,1,0,0,al ar,standalone:3,middle,paragraph/text line,0,,,
29,f58r,"f58r.5,+P0",P,standalone,2,al ar,rl,3,2,1,0,0,al ar,standalone:3,middle,paragraph/text line,0,,,
29,f69v,"f69v.1,@Cc",C,d,2,ar or,ao,2,1,0,1,0,dar dchor,broad:1; exact:1,middle,circular text,0,,,
29,f70r2,"f70r2.15,@Cc",C,ok,2,al ar,rl,4,3,1,0,0,okar okear okeeal okeear,broad:3; exact:1,middle,circular text,0,,,
29,f70r2,"f70r2.17,+Cc",C,d,2,al ol,ao,2,0,1,0,1,dal dalol,broad:1; exact:1,middle,circular text,0,,,
29,f70r2,"f70r2.6,+P1",P,standalone,2,al ar,rl,3,1,2,0,0,al ar,standalone:3,middle,paragraph/text line,0,,,
29,f71r,"f71r.18,@Cc",C,ot,2,al ol,ao,2,0,1,0,1,otal oteeol,broad:1; exact:1,middle start,circular text,0,,,
29,f71v,"f71v.1,@Cc",C,ot,2,al ar,rl,4,3,1,0,0,otar otcheodal oteodar oteoshar,broad:3; exact:1,middle,circular text,0,,,
29,f71v,"f71v.12,@Cc",C,ch,2,al or,ao+rl,2,0,1,1,0,chal cheor,broad:2,middle start,circular text,0,,,
29,f72r1,"f72r1.12,@Cc",C,ch,2,al or,ao+rl,3,0,1,2,0,cheolor chokal chokshor,broad:3,middle,circular text,0,,,
29,f72r1,"f72r1.18,@Cc",C,ch,2,al ol,ao,2,0,1,0,1,chal chol,broad:1; exact:1,middle,circular text,0,,,
29,f72r3,"f72r3.14,@Cc",C,ot,2,ar ol,ao+rl,2,1,0,0,1,oteodar oteol,broad:2,middle,circular text,0,,,
29,f72v2,"f72v2.20,@Cc",C,ot,2,al ol,ao,2,0,1,0,1,oteal otol,broad:1; exact:1,middle,circular text,0,,,
29,f72v3,"f72v3.1,@Cc",C,ch,2,ol or,rl,2,0,0,1,1,cheor chol,broad:1; exact:1,middle,circular text,0,,,
29,f72v3,"f72v3.1,@Cc",C,sh,2,al ol,ao,2,0,1,0,1,shedykeal shol,broad:1; exact:1,middle,circular text,0,,,
29,f75v,"f75v.41,+P0",P,standalone,2,ol or,rl,3,0,0,1,2,ol or,standalone:3,middle,paragraph/text line,0,,,
29,f76r,"f76r.15,=P0",P,standalone,2,al ar,rl,3,2,1,0,0,al ar,standalone:3,middle,paragraph/text line,0,,,
29,f78v,"f78v.25,+P0",P,standalone,2,ol or,rl,3,0,0,1,2,ol or,standalone:3,middle,paragraph/text line,0,,,
29,f81r,"f81r.4,+P0",P,standalone,2,al ol,ao,3,0,1,0,2,al ol,standalone:3,end middle,paragraph/text line,0,,,
29,f81v,"f81v.2,+P0",P,standalone,2,al ol,ao,3,0,1,0,2,al ol,standalone:3,middle,paragraph/text line,0,,,
29,f86v6,"f86v6.11,+P0",P,standalone,2,ar or,ao,3,1,0,2,0,ar or,standalone:3,end middle,paragraph/text line,0,,,
29,f86v6,"f86v6.6,+P0",P,standalone,2,ar or,ao,3,1,0,2,0,ar or,standalone:3,end middle,paragraph/text line,0,,,
29,f99v,"f99v.34,+P0",P,standalone,2,ol or,rl,3,0,0,1,2,ol or,standalone:3,middle,paragraph/text line,0,,,
29,fRos,"fRos.122,@Cc",C,ok,2,al ar,rl,4,2,2,0,0,okal okalar okedal okedar,broad:3; exact:1,end middle start,circular text,0,,,
29,fRos,"fRos.133,@Cc",C,ok,2,al ol,ao,2,0,1,0,1,okal okalol,broad:1; exact:1,middle,circular text,0,,,
29,fRos,"fRos.47,@Cc",C,ot,2,ar or,ao,2,1,0,1,0,otar otchdor,broad:1; exact:1,middle,circular text,0,,,
29,fRos,"fRos.87,@Cc",C,ch,2,ar ol,ao+rl,3,2,0,0,1,chdar cheykar chfol,broad:3,middle,circular text,0,,,
28,f100r,"f100r.15,+P0",P,ch,2,ol or,rl,2,0,0,1,1,chol chor,exact:2,middle,paragraph/text line,0,,,
28,f100v,"f100v.21,+P0",P,ok,2,ar or,ao,2,1,0,1,0,okar okor,exact:2,middle,paragraph/text line,0,,,
28,f101r,"f101r.3,+P0",P,d,2,ar ol,ao+rl,2,1,0,0,1,dar dol,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f101r,"f101r.5,+P0",P,ok,2,ol or,rl,4,0,0,1,3,okeol okol okor,broad:2; exact:2,middle,paragraph/text line,0,,,
28,f101r,"f101r.9,+P0",P,d,2,ar or,ao,3,2,0,1,0,dar dor,broad:1; exact:2,middle,paragraph/text line,0,,,
28,f103r,"f103r.45,+P0",P,sh,2,ar ol,ao+rl,2,1,0,0,1,shedar shol,broad:1; exact:1,middle,paragraph/text line,0,,,
28,f103v,"f103v.1,@P0",P,d,2,al ar,rl,2,1,1,0,0,dal dar,exact:2,end middle,paragraph/text line,0,,,
