k,token,token_contrib_bits,cumulative_bits,cumulative_frac,semantic_guardrail
319,sary,0.00017809,0.15626395,0.331866,rota67_laafu_layout_not_decipherment
320,shdaiin,0.00017809,0.15644204,0.332244,rota67_laafu_layout_not_decipherment
321,sodaiin,0.00017809,0.15662014,0.332623,rota67_laafu_layout_not_decipherment
322,tshor,0.00017809,0.15679823,0.333001,rota67_laafu_layout_not_decipherment
323,ykeeor,0.00017809,0.15697632,0.333379,rota67_laafu_layout_not_decipherment
324,ykeol,0.00017781,0.15715413,0.333757,rota67_laafu_layout_not_decipherment
325,lkar,0.00017752,0.15733165,0.334134,rota67_laafu_layout_not_decipherment
326,she,0.00017629,0.15750794,0.334508,rota67_laafu_layout_not_decipherment
327,lkain,0.00017572,0.15768366,0.334881,rota67_laafu_layout_not_decipherment
328,ctho,0.00017571,0.15785937,0.335255,rota67_laafu_layout_not_decipherment
329,qoty,0.00017506,0.15803443,0.335626,rota67_laafu_layout_not_decipherment
330,rol,0.00017485,0.15820927,0.335998,rota67_laafu_layout_not_decipherment
331,otchor,0.00017393,0.1583832,0.336367,rota67_laafu_layout_not_decipherment
332,aiinal,0.00017116,0.15855436,0.336731,rota67_laafu_layout_not_decipherment
333,aiiny,0.00017116,0.15872553,0.337094,rota67_laafu_layout_not_decipherment
334,airam,0.00017116,0.15889669,0.337458,rota67_laafu_layout_not_decipherment
335,alod,0.00017116,0.15906786,0.337821,rota67_laafu_layout_not_decipherment
336,chctham,0.00017116,0.15923902,0.338185,rota67_laafu_layout_not_decipherment
337,chdaly,0.00017116,0.15941019,0.338548,rota67_laafu_layout_not_decipherment
